Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
2807,3984169,"exercises/easy/ex2-type-checker.js",287,0,"<",javascript,content
2808,3984539,"exercises/easy/ex2-type-checker.js",288,0,"-",javascript,content
2809,3984664,"exercises/easy/ex2-type-checker.js",289,0,"-",javascript,content
2810,3985130,"exercises/easy/ex2-type-checker.js",290,0," ",javascript,content
2811,3986829,"exercises/easy/ex2-type-checker.js",291,0,"v",javascript,content
2812,3987119,"exercises/easy/ex2-type-checker.js",292,0,"a",javascript,content
2813,3987396,"exercises/easy/ex2-type-checker.js",293,0,"r",javascript,content
2814,3987451,"exercises/easy/ex2-type-checker.js",294,0,"i",javascript,content
2815,3987869,"exercises/easy/ex2-type-checker.js",295,0,"a",javascript,content
2816,3987955,"exercises/easy/ex2-type-checker.js",296,0,"b",javascript,content
2817,3988138,"exercises/easy/ex2-type-checker.js",297,0,"l",javascript,content
2818,3988240,"exercises/easy/ex2-type-checker.js",298,0,"e",javascript,content
2819,3988327,"exercises/easy/ex2-type-checker.js",299,0," ",javascript,content
2820,3988541,"exercises/easy/ex2-type-checker.js",300,0,"t",javascript,content
2821,3988627,"exercises/easy/ex2-type-checker.js",301,0,"h",javascript,content
2822,3988752,"exercises/easy/ex2-type-checker.js",302,0,"e",javascript,content
2823,3988828,"exercises/easy/ex2-type-checker.js",303,0,"n",javascript,content
2824,3989617,"exercises/easy/ex2-type-checker.js",304,0,">",javascript,content
2825,3989755,"exercises/easy/ex2-type-checker.js",305,0,">",javascript,content
2826,3990156,"exercises/easy/ex2-type-checker.js",305,1,"",javascript,content
2827,3990324,"exercises/easy/ex2-type-checker.js",304,1,"",javascript,content
2828,3990890,"exercises/easy/ex2-type-checker.js",304,0,"?",javascript,content
2829,3991025,"exercises/easy/ex2-type-checker.js",305,0,"?",javascript,content
2830,3991202,"exercises/easy/ex2-type-checker.js",306,0,"?",javascript,content
2831,3992481,"exercises/easy/ex2-type-checker.js",242,65,"",javascript,content
2832,3993771,"exercises/easy/ex2-type-checker.js",246,6,"s",javascript,content
2833,3993903,"exercises/easy/ex2-type-checker.js",247,0,"h",javascript,content
2834,3994077,"exercises/easy/ex2-type-checker.js",248,0,"o",javascript,content
2835,3994203,"exercises/easy/ex2-type-checker.js",249,0,"w",javascript,content
2836,3995887,"exercises/easy/ex2-type-checker.js",286,6,"s",javascript,content
2837,3996053,"exercises/easy/ex2-type-checker.js",287,0,"h",javascript,content
2838,3996237,"exercises/easy/ex2-type-checker.js",288,0,"o",javascript,content
2839,3996349,"exercises/easy/ex2-type-checker.js",289,0,"w",javascript,content
2840,3999145,"exercises/easy/ex2-type-checker.js",325,6,"show",javascript,content
2841,4000094,"exercises/easy/ex2-type-checker.js",365,6,"show",javascript,content
2842,4000942,"exercises/easy/ex2-type-checker.js",405,6,"show",javascript,content
2843,4001726,"exercises/easy/ex2-type-checker.js",446,6,"show",javascript,content
2844,4002639,"exercises/easy/ex2-type-checker.js",484,6,"show",javascript,content
2845,4003512,"exercises/easy/ex2-type-checker.js",527,6,"show",javascript,content
2846,4004432,"exercises/easy/ex2-type-checker.js",567,6,"show",javascript,content
2847,4005232,"exercises/easy/ex2-type-checker.js",604,6,"show",javascript,content
2848,4006144,"exercises/easy/ex2-type-checker.js",640,6,"show",javascript,content
2849,4007076,"exercises/easy/ex2-type-checker.js",677,6,"show",javascript,content
2850,4007818,"exercises/easy/ex2-type-checker.js",714,6,"show",javascript,content
2851,4008594,"exercises/easy/ex2-type-checker.js",753,6,"show",javascript,content
2852,4009725,"exercises/easy/ex2-type-checker.js",788,6,"show",javascript,content
2853,4010469,"exercises/easy/ex2-type-checker.js",831,6,"show",javascript,content
2854,4014102,"exercises/easy/ex2-type-checker.js",243,0,"\n  ",javascript,content
2855,4015479,"exercises/easy/ex2-type-checker.js",244,2,"",javascript,content
2855,4015479,"exercises/easy/ex2-type-checker.js",244,2,"",javascript,content
2856,4015479,"exercises/easy/ex2-type-checker.js",243,0,".",javascript,content
2857,4015955,"exercises/easy/ex2-type-checker.js",244,0,"t",javascript,content
2858,4016053,"exercises/easy/ex2-type-checker.js",245,0,"o",javascript,content
2859,4016375,"exercises/easy/ex2-type-checker.js",246,0,"B",javascript,content
2860,4016529,"exercises/easy/ex2-type-checker.js",247,0,"e",javascript,content
2861,4018009,"exercises/easy/ex2-type-checker.js",244,4,"toBe",javascript,content
2862,4018531,"exercises/easy/ex2-type-checker.js",248,0," ",javascript,content
2863,4019789,"exercises/easy/ex2-type-checker.js",249,0,"<",javascript,content
2864,4020735,"exercises/easy/ex2-type-checker.js",250,0,"-",javascript,content
2865,4020857,"exercises/easy/ex2-type-checker.js",251,0,"-",javascript,content
2866,4021179,"exercises/easy/ex2-type-checker.js",252,0," ",javascript,content
2867,4021457,"exercises/easy/ex2-type-checker.js",253,0,"E",javascript,content
2868,4021755,"exercises/easy/ex2-type-checker.js",254,0,"x",javascript,content
2869,4021873,"exercises/easy/ex2-type-checker.js",255,0,"p",javascript,content
2870,4022028,"exercises/easy/ex2-type-checker.js",256,0,"e",javascript,content
2871,4022209,"exercises/easy/ex2-type-checker.js",257,0,"c",javascript,content
2872,4022435,"exercises/easy/ex2-type-checker.js",258,0,"t",javascript,content
2873,4022573,"exercises/easy/ex2-type-checker.js",259,0," ",javascript,content
2874,4023705,"exercises/easy/ex2-type-checker.js",260,0,"o",javascript,content
2875,4023973,"exercises/easy/ex2-type-checker.js",261,0,"b",javascript,content
2876,4024795,"exercises/easy/ex2-type-checker.js",262,0,"j",javascript,content
2877,4024877,"exercises/easy/ex2-type-checker.js",263,0,"e",javascript,content
2878,4025086,"exercises/easy/ex2-type-checker.js",264,0,"c",javascript,content
2879,4025281,"exercises/easy/ex2-type-checker.js",265,0,"t",javascript,content
2880,4025387,"exercises/easy/ex2-type-checker.js",266,0," ",javascript,content
2881,4025571,"exercises/easy/ex2-type-checker.js",267,0,"o",javascript,content
2882,4025660,"exercises/easy/ex2-type-checker.js",268,0,"r",javascript,content
2883,4026274,"exercises/easy/ex2-type-checker.js",269,0," ",javascript,content
2884,4026820,"exercises/easy/ex2-type-checker.js",270,0,"d",javascript,content
2885,4027069,"exercises/easy/ex2-type-checker.js",271,0,"a",javascript,content
2886,4027248,"exercises/easy/ex2-type-checker.js",272,0,"t",javascript,content
2887,4027442,"exercises/easy/ex2-type-checker.js",273,0,"a",javascript,content
2888,4027532,"exercises/easy/ex2-type-checker.js",274,0," ",javascript,content
2889,4027988,"exercises/easy/ex2-type-checker.js",275,0,"t",javascript,content
2890,4028721,"exercises/easy/ex2-type-checker.js",276,0,"y",javascript,content
2891,4028934,"exercises/easy/ex2-type-checker.js",277,0,"p",javascript,content
2892,4029025,"exercises/easy/ex2-type-checker.js",278,0,"e",javascript,content
2893,4029191,"exercises/easy/ex2-type-checker.js",279,0," ",javascript,content
2894,4029493,"exercises/easy/ex2-type-checker.js",280,0,"t",javascript,content
2895,4030015,"exercises/easy/ex2-type-checker.js",280,1,"",javascript,content
2896,4030559,"exercises/easy/ex2-type-checker.js",280,0,"""""",javascript,content
2897,4030700,"exercises/easy/ex2-type-checker.js",281,1,"""",javascript,content
2898,4031468,"exercises/easy/ex2-type-checker.js",281,0,"T",javascript,content
2899,4031965,"exercises/easy/ex2-type-checker.js",282,0,"o",javascript,content
2900,4032169,"exercises/easy/ex2-type-checker.js",283,0," ",javascript,content
2901,4032465,"exercises/easy/ex2-type-checker.js",284,0,"B",javascript,content
2902,4032641,"exercises/easy/ex2-type-checker.js",285,0,"e",javascript,content
2903,4033934,"exercises/easy/ex2-type-checker.js",287,0," ",javascript,content
2904,4034181,"exercises/easy/ex2-type-checker.js",288,0,"m",javascript,content
2905,4034334,"exercises/easy/ex2-type-checker.js",289,0,"a",javascript,content
2906,4034597,"exercises/easy/ex2-type-checker.js",290,0,"t",javascript,content
2907,4034806,"exercises/easy/ex2-type-checker.js",291,0,"c",javascript,content
2908,4034897,"exercises/easy/ex2-type-checker.js",292,0,"h",javascript,content
2909,4035084,"exercises/easy/ex2-type-checker.js",293,0,"i",javascript,content
2910,4035176,"exercises/easy/ex2-type-checker.js",294,0,"n",javascript,content
2911,4035264,"exercises/easy/ex2-type-checker.js",295,0,"g",javascript,content
2912,4035405,"exercises/easy/ex2-type-checker.js",296,0," ",javascript,content
2913,4035565,"exercises/easy/ex2-type-checker.js",297,0,"e",javascript,content
2914,4035588,"exercises/easy/ex2-type-checker.js",298,0,"w",javascript,content
2915,4035691,"exercises/easy/ex2-type-checker.js",299,0,"i",javascript,content
2916,4036123,"exercises/easy/ex2-type-checker.js",299,1,"",javascript,content
2917,4036287,"exercises/easy/ex2-type-checker.js",298,1,"",javascript,content
2918,4036461,"exercises/easy/ex2-type-checker.js",297,1,"",javascript,content
2919,4036585,"exercises/easy/ex2-type-checker.js",297,0,"w",javascript,content
2920,4036738,"exercises/easy/ex2-type-checker.js",298,0,"i",javascript,content
2921,4036906,"exercises/easy/ex2-type-checker.js",299,0,"t",javascript,content
2922,4036983,"exercises/easy/ex2-type-checker.js",300,0,"h",javascript,content
2923,4037167,"exercises/easy/ex2-type-checker.js",301,0," ",javascript,content
2924,4037291,"exercises/easy/ex2-type-checker.js",302,0,"t",javascript,content
2925,4037402,"exercises/easy/ex2-type-checker.js",303,0,"h",javascript,content
2926,4037535,"exercises/easy/ex2-type-checker.js",304,0,"e",javascript,content
2927,4037602,"exercises/easy/ex2-type-checker.js",305,0," ",javascript,content
2928,4038017,"exercises/easy/ex2-type-checker.js",306,0,"s",javascript,content
2929,4038254,"exercises/easy/ex2-type-checker.js",307,0,"t",javascript,content
2930,4038389,"exercises/easy/ex2-type-checker.js",308,0,"r",javascript,content
2931,4038625,"exercises/easy/ex2-type-checker.js",309,0,"i",javascript,content
2932,4038755,"exercises/easy/ex2-type-checker.js",310,0,"n",javascript,content
2933,4038876,"exercises/easy/ex2-type-checker.js",311,0,"g",javascript,content
2934,4038986,"exercises/easy/ex2-type-checker.js",312,0," ",javascript,content
2935,4039239,"exercises/easy/ex2-type-checker.js",313,0,"n",javascript,content
2936,4039369,"exercises/easy/ex2-type-checker.js",314,0,"a",javascript,content
2937,4039466,"exercises/easy/ex2-type-checker.js",315,0,"m",javascript,content
2938,4039580,"exercises/easy/ex2-type-checker.js",316,0,"e",javascript,content
2939,4039660,"exercises/easy/ex2-type-checker.js",317,0," ",javascript,content
2940,4039888,"exercises/easy/ex2-type-checker.js",318,0,"o",javascript,content
2941,4039955,"exercises/easy/ex2-type-checker.js",319,0,"f",javascript,content
2942,4040060,"exercises/easy/ex2-type-checker.js",320,0," ",javascript,content
2943,4040237,"exercises/easy/ex2-type-checker.js",321,0,"d",javascript,content
2944,4040801,"exercises/easy/ex2-type-checker.js",321,1,"",javascript,content
2945,4040904,"exercises/easy/ex2-type-checker.js",321,0,"s",javascript,content
2946,4041102,"exercises/easy/ex2-type-checker.js",322,0,"a",javascript,content
2947,4041243,"exercises/easy/ex2-type-checker.js",323,0,"i",javascript,content
2948,4041310,"exercises/easy/ex2-type-checker.js",324,0,"d",javascript,content
2949,4041455,"exercises/easy/ex2-type-checker.js",325,0," ",javascript,content
2950,4041689,"exercises/easy/ex2-type-checker.js",326,0,"d",javascript,content
2951,4041926,"exercises/easy/ex2-type-checker.js",327,0,"a",javascript,content
2952,4042158,"exercises/easy/ex2-type-checker.js",328,0,"t",javascript,content
2953,4042395,"exercises/easy/ex2-type-checker.js",329,0,"a",javascript,content
2954,4042506,"exercises/easy/ex2-type-checker.js",330,0," ",javascript,content
2955,4042764,"exercises/easy/ex2-type-checker.js",331,0,"t",javascript,content
2956,4042954,"exercises/easy/ex2-type-checker.js",332,0,"y",javascript,content
2957,4043140,"exercises/easy/ex2-type-checker.js",333,0,"p",javascript,content
2958,4043243,"exercises/easy/ex2-type-checker.js",334,0,"e",javascript,content
2959,4043602,"exercises/easy/ex2-type-checker.js",335,0,"?",javascript,content
2960,4043758,"exercises/easy/ex2-type-checker.js",336,0,"?",javascript,content
2961,4043907,"exercises/easy/ex2-type-checker.js",337,0,"?",javascript,content
2962,4047027,"exercises/easy/ex2-type-checker.js",243,0,"/",javascript,content
2963,4047135,"exercises/easy/ex2-type-checker.js",244,0,"/",javascript,content
2964,4049224,"lecture.js",0,0,"//lecture.js\nconst sum = 4 + 4;\nconst sum1 = 4 + 4;\n\nfunction add (num1, num2) {\nconst sum3 = sum1 + num2 \nreturn sum3 //hey ur gonna add variable 1 into variable 2 so we can store them in variable 3\n\n}\n\nconsole.log('sum', sum1);\nconsole.log('sum1', sum1);\n\n\n//What are the 8 Data type of javascript again??? int, float, boolean, byte, short, long, char and double but what are they and isn't an array a dayta type???\n//These are types defined by strings - How do you return these values via console log however??\nconst thisIsAString = 'this is some words.';\nconst thisIsTrueOrFalse = false; // Boolean example but should it not include True as well as (F, T)??\nconst thisIsAnObject = {}; //Isn't {} a function? is that a type? Type of what exactly? need to search on MDI web to see\n//console.log('Remember to Concatonate if possible') ... What is contatonate? it's 'string' + 'string' like so\n\n//'this is some words.' // think its an object\n\n//'this is some words.'.toUpperCase; \n//the "" . "" DOT adds mthods to our Data Type such as the String above and can make it Uppercase and more!\n\n/* Const sentence = 'Heya what's Up?'\nconsole.log(sentence.toLowerCase());\nor\nconsole.log(""Heya what's Up?"")\n\n.trim() deletes excess spaces --> many methods are string based / for printing messages\n*/\n\n\n\n\n\n\nconst theSum = add (4,4);\nconsole.log('this is the sum:', theSum);\n\nconsole.log(typeof thisIsAnObject);\n\n\n\n\n\n\n\n",javascript,tab
2965,4059637,"lecture.js",259,159,"",javascript,content
2966,4062176,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should \n  return an object containing all these types */\n  const types = showAllTypes();\n\n//.toBe <-- Expect object or data type ""To Be"" matching with the string name of said data type???\n\n  show(types).toHaveProperty('object');\n  show(types).toHaveProperty('array');\n  show(types).toHaveProperty('string');\n  show(types).toHaveProperty('number');\n  show(types).toHaveProperty('boolean');\n  show(types).toHaveProperty('null');\n  show(types).toHaveProperty('undefined');\n  show(types).toHaveProperty('nan');\n  \n  show(types.object).toBe('object');\n  show(types.array).toBe('object');\n  show(types.string).toBe('string');\n  show(types.number).toBe('number');\n  show(types.boolean).toBe('boolean');\n  show(types.null).toBe('object');\n  show(types.undefined).toBe('undefined');\n  show(types.nan).toBe('number');\n\n\n\n  console.log(typeof );\n\n}\n\n\n\nmodule.exports = showAllTypes;\n\n\n\n/* the Key is the name of the data type, and value is the type of data type\n{\n\n}\n*/\n\n\n\n",javascript,tab
2967,4067815,"exercises/easy/ex2-type-checker.js",341,0,"\n",javascript,content
2968,4067867,"exercises/easy/ex2-type-checker.js",342,0,"\n",javascript,content
2969,4069200,"exercises/easy/ex2-type-checker.js",341,0,"T",javascript,content
2970,4069620,"exercises/easy/ex2-type-checker.js",341,1,"",javascript,content
2971,4070460,"exercises/easy/ex2-type-checker.js",342,0,"/",javascript,content
2972,4070576,"exercises/easy/ex2-type-checker.js",343,0,"/",javascript,content
2973,4070937,"exercises/easy/ex2-type-checker.js",344,0,"T",javascript,content
2974,4071053,"exercises/easy/ex2-type-checker.js",345,0,"h",javascript,content
2975,4071213,"exercises/easy/ex2-type-checker.js",346,0,"e",javascript,content
2976,4071322,"exercises/easy/ex2-type-checker.js",347,0," ",javascript,content
2977,4071763,"exercises/easy/ex2-type-checker.js",348,0,"d",javascript,content
2978,4071975,"exercises/easy/ex2-type-checker.js",349,0,"a",javascript,content
2979,4072202,"exercises/easy/ex2-type-checker.js",350,0,"t",javascript,content
2980,4072452,"exercises/easy/ex2-type-checker.js",351,0,"a",javascript,content
2981,4072847,"exercises/easy/ex2-type-checker.js",352,0," ",javascript,content
2982,4073252,"exercises/easy/ex2-type-checker.js",353,0,"t",javascript,content
2983,4073438,"exercises/easy/ex2-type-checker.js",354,0,"y",javascript,content
